index,tweet_id,sentiment
0,1339188550219264000,1
1,1303728898367270912,1
2,1331026938748551168,1
3,1329846658532687872,1
4,1269887253217718272,1
5,1325828462267994112,1
6,1341506560225251328,1
7,1351480916611391488,2
8,1352067210022449152,2
9,1322622509615882240,2
10,1303780502248345600,1
11,1348753659526569984,2
12,1334051929874436096,2
13,1355750857787141888,2
14,1330949235781505024,2
15,1338636949607706624,2
16,1246882198688542720,1
17,1330519764289134336,0
18,1277246380373937920,1
19,1344046681902473216,2
20,1262740866831020032,2
21,1300546307027738624,0
22,1356311767773753088,1
23,1331622850483073024,1
24,1350084596583587840,1
25,1330628562601250816,1
26,1335944307744919552,1
27,1340768892159979520,0
28,1316653190641668096,1
29,1346440709771968512,1
30,1344109369269637120,1
31,1333136711572971520,1
32,1262328370290884608,1
33,1339863602182955008,1
34,1311720156515663872,1
35,1292006357550411520,1
36,1351149882619420672,2
37,1337204233427447808,1
38,1355528709332213504,2
39,1355443266758586368,1
40,1355130463409606912,1
41,1334045854416584704,1
42,1329136501872074752,0
43,1296282284853616640,1
44,1260221588538040320,1
45,1252312324666527488,0
46,1290351876102217728,0
47,1349700290895896320,1
48,1345312690084995072,1
49,1296384386145820672,1
50,1251295513334308864,2
51,1350957464376791040,0
52,1317941887836323840,1
53,1329943514709422080,2
54,1337457617820672000,2
55,1340755148927348736,2
56,1303780911419457536,0
57,1239236929394216704,1
58,1293128634711105536,0
59,1353325421908131840,2
60,1303356076566261504,0
61,1304761692191174912,1
62,1293159861472186368,1
63,1338816211962871808,1
64,1333830374963748864,1
65,1306907856516657152,1
66,1348398858284384512,1
67,1345753080353218304,0
68,1301246898863517696,1
69,1338565644275605504,1
70,1330807350488309504,2
71,1334215846558904320,1
72,1310798173116542720,1
73,1326237028967567104,0
74,1334872861723471872,2
75,1347713248045445120,2
76,1318646440076496896,1
77,1355188045696347904,1
78,1340839448687349504,1
79,1338619781184970752,1
80,1345164766713622528,0
81,1344259023764385536,2
82,1283215825273409536,2
83,1346194429409861632,1
84,1259356553104277504,1
85,1339925261987569664,2
86,1296707984140230912,2
87,1338812422757478400,0
88,1349127903250968320,2
89,1349774559520694272,2
90,1325987431057911808,0
91,1285216325288288512,2
92,1301347160450097152,0
93,1349675887114006528,1
94,1352311768304013312,2
95,1335978884546752512,1
96,1328818301477281536,0
97,1245483847216750336,2
98,1286508364625780736,1
99,1265646508826923008,0
100,1347231462702067712,2
101,1344800216046825472,0
102,1326036887010758912,2
103,1355485932519100416,1
104,1339644337932656640,1
105,1289936535253659648,2
106,1344256215010840320,2
107,1341499511617797888,2
108,1249970871592050688,2
109,1346845989521526784,1
110,1353538072730853120,0
111,1325772696714620928,2
112,1303579756357734400,0
113,1349300041064865792,0
114,1258904493531545600,0
115,1303805274407436288,0
116,1343305875071660032,0
117,1356236248818606080,2
118,1336747456286126080,1
119,1344223634861088768,2
120,1348163340988674048,2
121,1335997500000358400,2
122,1349797010459783168,0
123,1352135345689616384,2
124,1302768347365412864,1
125,1350013728130035712,2
126,1343593375170224128,2
127,1351476193254650112,0
128,1326152249962360832,0
129,1327365438171467520,1
130,1334248256918802432,1
131,1340795099316322304,1
132,1301810117701021696,2
133,1278998308493471488,0
134,1351140581158887424,1
135,1281840653903621888,2
136,1321994745808211968,2
137,1329123846763507712,2
138,1289221548906143488,1
139,1335174678260879104,2
140,1337727389716115712,2
141,1283828739755970304,1
142,1317704368863338496,0
143,1261859119566409728,2
144,1334598976264351488,2
145,1330922781794476032,1
146,1337975189603282944,2
147,1337505531636948992,1
148,1356375148698415104,1
149,1285283104777805824,1
150,1288277167428612096,0
151,1326520007375937536,0
152,1303544883102318592,0
153,1335724021741129728,1
154,1346651340286480384,2
155,1252807105897103104,1
156,1334449802080366592,2
157,1352263143574155264,1
158,1325946280741273600,2
159,1309771972121972736,1
160,1296847757886599168,1
161,1272861577360879616,2
162,1334244784341454848,0
163,1345695795153154048,2
164,1327376110821253120,1
165,1346020537089355520,1
166,1348962192230551552,2
167,1329555052797693952,1
168,1329051086666297088,0
169,1356530692209925888,2
170,1354557315068948480,0
171,1338907110114029568,1
172,1298504439309860864,1
173,1251946635602669568,1
174,1337072471036444672,1
175,1326322425445822464,2
176,1309840142283177984,2
177,1294299062796029952,1
178,1313136321016327936,2
179,1343848657645289472,1
180,1292553695620726784,1
181,1329465039552729088,0
182,1337156425122975488,0
183,1344980739968811008,2
184,1280554908656295936,1
185,1263173764772225024,0
186,1332424117761392640,1
187,1338870877195276288,2
188,1353910798725345280,1
189,1327261714606415872,2
190,1337637223387156480,1
191,1344385186054561536,1
192,1336373823407525888,2
193,1323980685972017152,2
194,1340196056991199232,2
195,1262810616135249920,1
196,1326253790262136832,2
197,1261000591293046784,2
198,1352396694630002688,0
199,1339634162186247936,1
200,1293110570028239872,1
201,1264520000000000000,1
202,1338510000000000000,2
203,1343810000000000000,1
204,1319550000000000000,1
205,1326290000000000000,2
206,1303610137953870080,0
207,1288136429495879936,1
208,1344753329746759936,1
209,1332280000000000000,1
210,1330533535829080064,0
211,1298360000000000000,0
212,1343480000000000000,2
213,1286236129159600128,2
214,1335310000000000000,1
215,1344330000000000000,0
216,1291859319021900032,1
217,1319435805224570112,1
218,1343920000000000000,1
219,1289218302963670016,1
220,1305660000000000000,1
221,1330000000000000000,2
222,1301297531608069888,0
223,1327280000000000000,0
224,1253763319283970048,1
225,1330290000000000000,2
226,1341432311045240064,1
227,1329350000000000000,1
228,1263090000000000000,1
229,1248068272798429952,1
230,1340000000000000000,2
231,1283879889817540096,2
232,1296900705240800000,0
233,1300000000000000000,1
234,1355552097345939968,1
235,1344208919338490112,2
236,1291130000000000000,1
237,1335975519825720064,1
238,1290000000000000000,2
239,1311540000000000000,1
240,1322068914688430080,1
241,1355270000000000000,2
242,1328430000000000000,1
243,1262060000000000000,1
244,1350000000000000000,1
245,1345374142158299904,1
246,1356630000000000000,1
247,1302567227183360000,2
248,1261420000000000000,2
249,1260000000000000000,2
